# Kpath    Energy-Level (in eV)
# Band    1
  2.442        13.077
  2.400        13.059
  2.359        13.014
  2.318        12.946
  2.318        12.946
  2.275        12.958
  2.233        12.868
  2.190        12.712
  2.148        12.484
  2.106        12.348
  2.063        12.212
  2.021        12.080
  1.978        11.952
  1.936        11.831
  1.894        11.718
  1.851        11.819
  1.809        11.692
  1.766        11.600
  1.724        11.521
  1.681        11.453
  1.639        11.398
  1.597        11.355
  1.554        11.324
  1.512        11.305
  1.469        11.299
  1.469        11.299
  1.427        11.675
  1.385        11.460
  1.343        11.059
  1.301        10.665
  1.259        10.281
  1.217         9.908
  1.175         9.545
  1.134         9.194
  1.092         8.854
  1.050         8.527
  1.008         8.213
  0.966         7.911
  0.924         7.811
  0.882         7.846
  0.840         7.810
  0.798         7.615
  0.756         7.385
  0.714         7.526
  0.672         7.895
  0.630         8.238
  0.588         8.288
  0.546         8.334
  0.504         8.372
  0.462         8.407
  0.420         8.432
  0.378         8.449
  0.336         8.459
  0.294         8.517
  0.252         8.503
  0.210         8.480
  0.168         8.458
  0.126         8.465
  0.084         8.433
  0.042         8.414
  0.000         8.408
