# Kpath    Energy-Level (in eV)
# Band    1
       1.37920      14.20891
       1.42448      14.52507
       1.46977      14.84428
       1.51505      15.15403
       1.56034      15.43653
       1.56034      15.43653
       1.69619      15.59163
       1.83205      14.83305
       1.96791      13.91576
       2.10376      12.73001
       2.23962      12.14251
       2.37547      11.28513
       2.51133      10.30300
       2.64718       9.93580
       2.78304      10.06613
       2.78304      10.06613
       2.89396       9.86904
       3.00489       9.92556
       3.11582      10.42289
       3.22674      10.33939
       3.33767      10.07906
       3.44859      10.00001
       3.55952      10.75846
       3.67044      11.65434
       3.78137      12.22343
       3.78137      12.22343
       3.87194      12.41581
       3.96251      12.63369
       4.05308      12.80418
       4.14365      12.98698
       4.23422      13.18640
       4.32479      13.36279
       4.41536      13.57005
       4.50593      13.87646
       4.59650      14.30271
       4.59650      14.30271
       4.66054      14.29721
       4.72459      14.27843
       4.78863      14.23911
       4.85267      14.16828
       4.91672      14.05287
       4.98076      13.88362
       5.04480      13.66893
       5.10884      13.46095
       5.17289      13.36761
# Band   12
       5.17289      13.36761
       5.10884      13.56118
       5.04480      13.79418
       4.98076      13.96508
       4.91672      14.09793
       4.85267      14.21217
       4.78863      14.31301
       4.72459      14.39625
       4.66054      14.45241
       4.59650      14.47257
       4.59650      14.47257
       4.50593      15.18163
       4.41536      15.58546
       4.32479      14.79647
       4.23422      14.02353
       4.14365      13.63022
       4.05308      13.47833
       3.96251      13.44836
       3.87194      13.61465
       3.78137      13.96785
       3.78137      13.96785
       3.67044      14.64340
       3.55952      15.57847
       3.44859      15.42791
       3.33767      14.22575
       3.22674      12.95148
       3.11582      12.10916
       3.00489      12.14617
       2.89396      12.54702
       2.78304      12.76342
       2.78304      12.76342
       2.64718      12.64807
       2.51133      12.57144
       2.37547      12.72386
       2.23962      13.07359
       2.10376      13.52987
       1.96791      14.09679
       1.83205      15.23735
       1.69619      16.32761
       1.56034      16.64311
       1.56034      16.64311
       1.51505      16.23033
       1.46977      15.81242
       1.42448      15.39306
       1.37920      14.97660
       1.33391      14.56944
       1.28863      14.18007
       1.24334      13.82246
       1.19806      13.52187
       1.15277      13.36761
       1.15277      13.36761
       1.02469      13.98057
       0.89660      15.09760
       0.76851      15.98231
       0.64043      15.43786
       0.51234      14.52733
