     #Energy  up_1&5_all  dw_1&5_all    up_3_all    dw_3_all
    15.87513     0.22757    -0.21199     0.14040    -0.13525
    15.98813     0.23361    -0.24240     0.13938    -0.14471
    16.10113     0.22456    -0.23393     0.13315    -0.13767
    16.21413     0.22951    -0.21981     0.13457    -0.12680
    16.32613     0.20593    -0.22711     0.12208    -0.13109
    16.43913     0.20224    -0.20610     0.11965    -0.12213
    16.55213     0.19826    -0.20056     0.11550    -0.12034
    16.66513     0.19541    -0.19896     0.11252    -0.11683
    16.77813     0.17639    -0.18698     0.10586    -0.11070
    16.89113     0.17529    -0.17193     0.10656    -0.10604
    17.00413     0.20774    -0.21861     0.11727    -0.12596
    17.11713     0.21723    -0.21210     0.11780    -0.11880
    17.23013     0.20442    -0.21432     0.10660    -0.11519
    17.34213     0.17906    -0.18940     0.09215    -0.09915
    17.45513     0.17238    -0.17119     0.09167    -0.09081
    17.56813     0.16979    -0.17391     0.09206    -0.09533
    17.68113     0.16315    -0.16617     0.08915    -0.09201
    17.79413     0.16095    -0.15625     0.08869    -0.08764
    17.90713     0.16824    -0.16364     0.09333    -0.09186
    18.02013     0.29891    -0.17857     0.24323    -0.10011
    18.13313     0.21863    -0.34804     0.11169    -0.17597
    18.24613     0.21714    -0.21955     0.10501    -0.10975
    18.35813     0.15267    -0.15969     0.06590    -0.06986
    18.47113     0.13342    -0.14070     0.05860    -0.06106
    18.58413     0.10902    -0.12216     0.05193    -0.05481
    18.69713     0.10221    -0.10438     0.05068    -0.05069
    18.81013     0.09625    -0.09851     0.04962    -0.04964
    18.92313     0.09043    -0.09278     0.04866    -0.04868
    19.03613     0.08556    -0.08716     0.04806    -0.04778
    19.14913     0.07622    -0.07899     0.04493    -0.04573
    19.26213     0.07010    -0.07180     0.04145    -0.04219
    19.37413     0.06699    -0.06765     0.03983    -0.04012
    19.48713     0.06404    -0.06458     0.03831    -0.03854
    19.60013     0.06111    -0.06150     0.03685    -0.03701
    19.71313     0.07862    -0.05842     0.05661    -0.03551
    19.82613     0.04522    -0.06434     0.02610    -0.04567
    19.93913     0.04288    -0.04278     0.02471    -0.02491
    20.05213     0.04054    -0.04031     0.02335    -0.02350
    20.16513     0.04529    -0.04363     0.02369    -0.02349
    20.27813     0.03406    -0.03501     0.02024    -0.02057
    20.39013     0.02594    -0.02937     0.01889    -0.01944
    20.50313     0.02555    -0.02530     0.01924    -0.01895
    20.61613     0.02531    -0.02550     0.01967    -0.01941
    20.72913     0.03529    -0.03186     0.02350    -0.02193
    20.84213     0.03784    -0.03872     0.02478    -0.02470
    20.95513     0.03617    -0.03640     0.02465    -0.02412
    21.06813     0.03514    -0.03968     0.02718    -0.04475
    21.18113     0.02989    -0.02999     0.01495    -0.01998
    21.29313     0.00000    -0.13821     0.00000    -0.04147
    21.40613     0.00000     0.00000     0.00000     0.00000
    21.51913     0.00000     0.00000     0.00000     0.00000
    21.63213     0.00000     0.00000     0.00000     0.00000
    21.74513     0.00000     0.00000     0.00000     0.00000
    21.85813     0.00000     0.00000     0.00000     0.00000
    21.97113     0.00000     0.00000     0.00000     0.00000
    22.08413     0.00000     0.00000     0.00000     0.00000
    22.19713     0.00000     0.00000     0.00000     0.00000
    22.30913     0.00000     0.00000     0.00000     0.00000
    22.42213     0.00000     0.00000     0.00000     0.00000
    22.53513     0.00000     0.00000     0.00000     0.00000
    22.64813     0.00000     0.00000     0.00000     0.00000
    22.76113     0.00000     0.00000     0.00000     0.00000
    22.87413     0.00000     0.00000     0.00000     0.00000
    22.98713     0.00000     0.00000     0.00000     0.00000
    23.10013     0.00000     0.00000     0.00000     0.00000
    23.21313     0.00000     0.00000     0.00000     0.00000
    23.32513     0.00000     0.00000     0.00000     0.00000
