     #Energy         O_s         O_p         C_s         C_p      Ni_dxy      Ni_dz2
    -2.83666     0.00123     0.08991     0.01181     0.02865     1.37310     1.29540
    -2.66266     0.00082     0.04700     0.00407     0.00912     0.77030     1.06130
    -2.48966     0.00122     0.14931     0.01045     0.03421     1.36450     1.38750
    -2.31666     0.00079     0.13777     0.02231     0.04889     1.84310     1.48210
    -2.14266     0.00060     0.13037     0.01207     0.03203     2.05560     2.19870
    -1.96966     0.00037     0.12562     0.01143     0.03415     2.20860     2.14450
    -1.79666     0.00048     0.15316     0.01383     0.04146     2.37370     3.14570
    -1.62266     0.00028     0.03493     0.01232     0.01890     1.95690     2.13530
    -1.44966     0.00026     0.06653     0.00530     0.02733     2.06670     2.71209
    -1.27666     0.00036     0.04306     0.00722     0.02533     1.42360     0.87830
    -1.10266     0.00055     0.03170     0.01055     0.01720     1.47170     1.20890
    -0.92966     0.00031     0.02351     0.00795     0.01415     1.73140     1.14203
    -0.75666     0.00027     0.02432     0.00991     0.01705     1.83150     1.35950
    -0.58266     0.00034     0.02105     0.01098     0.01755     1.85250     1.88440
    -0.40966     0.00065     0.02632     0.01302     0.02390     1.94910     2.59190
    -0.23666     0.00031     0.03697     0.01281     0.02949     2.54940     2.18850
    -0.06266     0.00032     0.03413     0.01738     0.03054     3.84680     5.24380
     0.11034     0.00092     0.04268     0.04169     0.05190     1.22150     1.19347
     0.28334     0.00105     0.05360     0.02235     0.06521     0.57331     0.78439
     0.45734     0.00089     0.05265     0.01734     0.06428     0.50185     0.47185
     0.63034     0.00106     0.08004     0.02047     0.09973     0.48217     0.36433
     0.80334     0.00122     0.10711     0.02356     0.13203     0.41927     0.37491
     0.97734     0.00098     0.09529     0.01742     0.11611     0.20841     0.27138
     1.15034     0.00095     0.07423     0.01599     0.09336     0.20292     0.25168
     1.32334     0.00083     0.05027     0.01318     0.06659     0.18749     0.20938
     1.49734     0.00078     0.03409     0.01102     0.04992     0.17589     0.18843
     1.67034     0.00082     0.04577     0.01099     0.06457     0.17066     0.17332
     1.84334     0.00091     0.05600     0.01168     0.07805     0.17022     0.16579
     2.01734     0.00707     0.44499     0.07100     0.65465     0.44291     0.57008
     2.19034     0.00099     0.12035     0.01256     0.16445     0.26911     0.18520
     2.36334     0.00039     0.08309     0.00514     0.10903     0.24883     0.12082
     2.53734     0.00034     0.06123     0.00433     0.08337     0.10214     0.06916
     2.71034     0.00160     0.24474     0.01772     0.34010     0.14724     0.14645
     2.88334     0.00151     0.17359     0.01543     0.24831     0.09676     0.10723
     3.05734     0.00057     0.09772     0.00656     0.13974     0.09166     0.05988
     3.23034     0.00043     0.07910     0.00522     0.11308     0.04720     0.04176
     3.40334     0.00035     0.07382     0.00449     0.10519     0.04567     0.04466
     3.57734     0.00009     0.06212     0.00207     0.08775     0.10507     0.05334
     3.75034     0.00018     0.06506     0.00270     0.09666     0.10440     0.04430
     3.92334     0.00087     0.12126     0.00860     0.19480     0.10375     0.05793
     4.09734     0.00158     0.18866     0.01479     0.31729     0.07667     0.08992
     4.27034     0.00221     0.34887     0.02194     0.60727     0.11230     0.18384
     4.44334     0.00186     0.19792     0.01087     0.34642     0.06619     0.11803
     4.61734     0.00178     0.14737     0.00693     0.26227     0.04879     0.07802
     4.79034     0.00175     0.12107     0.00371     0.22272     0.03541     0.04695
     4.96334     0.00722     0.22181     0.00649     0.42326     0.02896     0.10321
     5.13734     0.00023     0.29186     0.00378     0.62067     0.02265     0.06377
     5.31034     0.00027     0.25543     0.00428     0.54954     0.06847     0.09219
     5.48334     0.00492     0.36739     0.01248     0.80523     0.03995     0.11016
     5.65734     0.00021     0.03031     0.00301     0.05620     0.01076     0.05128
     5.83034     0.00256     0.03034     0.00833     0.06338     0.01918     0.11040
     6.00334     0.01071     0.10192     0.01986     0.26017     0.05698     0.21474
