#K-Path     Energy-Level
#Band-index    1
  2.470      -17.3145
  2.501      -17.3147
  2.532      -17.3150
  2.564      -17.3152
  2.595      -17.3154
  2.626      -17.3155
  2.658      -17.3156
  2.689      -17.3158
  2.720      -17.3158
  2.752      -17.3159
  2.783      -17.3160
  2.783      -17.3160
  2.814      -17.3159
  2.845      -17.3159
  2.877      -17.3159
  2.908      -17.3160
  2.939      -17.3160
  2.970      -17.3160
  3.001      -17.3160
  3.033      -17.3161
  3.064      -17.3160
  3.095      -17.3160
  3.126      -17.3160
  3.157      -17.3159
  3.189      -17.3158
  3.220      -17.3156
  3.251      -17.3154
  3.282      -17.3152
  3.313      -17.3150
  3.345      -17.3147
  3.376      -17.3143
  3.407      -17.3140
  3.438      -17.3136
  3.469      -17.3132
  3.501      -17.3128
  3.532      -17.3124
  3.563      -17.3120
  3.594      -17.3117
  3.625      -17.3114
  3.657      -17.3111
  3.688      -17.3108
  3.719      -17.3107
  3.750      -17.3106
  3.781      -17.3106
  3.781      -17.3106
  3.813      -17.3106
  3.844      -17.3106
  3.875      -17.3106
  3.907      -17.3106
  3.938      -17.3105
  3.969      -17.3105
  4.001      -17.3105
  4.032      -17.3105
  4.064      -17.3104
  4.095      -17.3104
  4.126      -17.3103
  4.158      -17.3103
  4.189      -17.3102
  4.220      -17.3101
  4.252      -17.3099
  4.283      -17.3098
  4.314      -17.3096
  4.346      -17.3094
  4.377      -17.3092
  4.408      -17.3090
  4.440      -17.3089
  4.471      -17.3087
  4.502      -17.3085
  4.534      -17.3084
  4.565      -17.3084
  4.597      -17.3084
  4.597      -17.3084
  4.629      -17.3082
  4.661      -17.3078
  4.693      -17.3072
  4.725      -17.3064
  4.757      -17.3055
  4.789      -17.3045
  4.821      -17.3035
  4.853      -17.3025
  4.885      -17.3016
  4.917      -17.3007
  4.949      -17.2998
  4.981      -17.2991
  5.013      -17.2985
  5.045      -17.2979
  5.077      -17.2975
  5.109      -17.2972
  5.141      -17.2970
  5.173      -17.2970
#Band-index    6
  5.173      -10.9723
  5.141      -10.9716
  5.109      -10.9696
  5.077      -10.9662
  5.045      -10.9615
  5.013      -10.9558
  4.981      -10.9492
  4.949      -10.9418
  4.917      -10.9338
  4.885      -10.9256
  4.853      -10.9173
  4.821      -10.9093
  4.789      -10.9017
  4.757      -10.8948
  4.725      -10.8888
  4.693      -10.8839
  4.661      -10.8803
  4.629      -10.8781
  4.597      -10.8773
  4.597      -10.8773
  4.565      -10.8831
  4.534      -10.9003
  4.502      -10.9283
  4.471      -10.9658
  4.440      -11.0115
  4.408      -11.0641
  4.377      -11.1218
  4.346      -11.1834
  4.314      -11.2474
  4.283      -11.3125
  4.252      -11.3777
  4.220      -11.4420
  4.189      -11.5046
  4.158      -11.5648
  4.126      -11.6219
  4.095      -11.6754
  4.064      -11.7249
  4.032      -11.7701
  4.001      -11.8105
  3.969      -11.8461
  3.938      -11.8765
  3.907      -11.9016
  3.875      -11.9212
  3.844      -11.9353
  3.813      -11.9438
  3.781      -11.9466
  3.781      -11.9466
  3.750      -11.9569
  3.719      -11.9873
  3.688      -12.0362
  3.657      -12.1015
  3.625      -12.1807
  3.594      -12.2709
  3.563      -12.3697
  3.532      -12.4747
  3.501      -12.5836
  3.469      -12.6949
  3.438      -12.8069
  3.407      -12.9184
  3.376      -13.0282
  3.345      -13.1356
  3.313      -13.2398
  3.282      -13.3401
  3.251      -13.4362
  3.220      -13.5274
  3.189      -13.6136
  3.157      -13.6943
  3.126      -13.7693
  3.095      -13.8384
  3.064      -13.9014
  3.033      -13.9581
  3.001      -14.0085
  2.970      -14.0523
  2.939      -14.0896
  2.908      -14.1202
  2.877      -14.1440
  2.845      -14.1611
  2.814      -14.1714
  2.783      -14.1748
  2.783      -14.1748
  2.752      -14.1714
  2.720      -14.1610
